旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1,主站_平台_主站客户-01,1,主站_平台_主站客户,2,02,0.1
3,主站_平台_交易机构-01,3,主站_平台_交易机构,1,01,0
4,盈华财富_平台_平台客户-01,4,盈华财富_平台_平台客户,2,02,0.1
6,联合财富_平台_平台客户-01,6,联合财富_平台_平台客户,2,02,0.1
7,网信白泽_资金渠道_外部菁英（武汉）-23,7,网信白泽_资金渠道_外部菁英（武汉）,2,02,0.1
16,盈华财富_资金渠道_内部专职（盈华）-04,11,盈华财富_资金渠道_内部专职（盈华）,8,08,1
17,联合财富_资金渠道_普通员工-04,145,联合财富_资金渠道_普通员工,8,08,1
19,主站_资金渠道_普通员工-01,13,主站_资金渠道_普通员工,4,04,0.25
24,联合兑换_资金渠道_内部专职-04,14,联合兑换_资金渠道_内部专职,8,08,1
28,网信白泽_资金渠道_外部菁英（济南）-02,15,网信白泽_资金渠道_外部菁英（济南）,8,08,1
29,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
30,网信白泽_资金渠道_外部菁英（济南）-11,15,网信白泽_资金渠道_外部菁英（济南）,5,05,0.5
31,第一房贷_资金渠道_分站平台（独立经济人）-03,22,第一房贷_资金渠道_分站平台（独立经济人）,6,06,0.75
33,存管测试白名单组-01,23,存管测试白名单组,8,08,1
34,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
35,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
36,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
37,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
17088,网信白泽_资金渠道_普通员工1-37,24,网信白泽_资金渠道_普通员工1,8,08,1
22421,联合黄金_资金渠道_内部专职（终止合作）-04,25,联合黄金_资金渠道_内部专职（终止合作）,8,08,1
23693,网信白泽_资金渠道_外部菁英（济南）-26,15,网信白泽_资金渠道_外部菁英（济南）,1,01,0
24221,联合宜汇_资金渠道_内部专职（终止合作）-04,26,联合宜汇_资金渠道_内部专职（终止合作）,8,08,1
31160,网信白泽_资金渠道_普通员工1-1,24,网信白泽_资金渠道_普通员工1,8,08,1
32649,第一车贷_平台_分站客户（撤站）-01,21,第一车贷_平台_分站客户（撤站）,2,02,0.1
35037,盈华财富_资金渠道_内部专职（盈华）-04,11,盈华财富_资金渠道_内部专职（盈华）,5,05,0.5
35038,联合财富_资金渠道_普通员工-04,145,联合财富_资金渠道_普通员工,5,05,0.5
45238,第一房贷_资金渠道_分站平台（独立经济人）-01,22,第一房贷_资金渠道_分站平台（独立经济人）,4,04,0.25
45425,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）-04,28,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）,8,08,1
99645,网信白泽_资金渠道_外部渠道（武汉-存量）-02,30,网信白泽_资金渠道_外部渠道（武汉-存量）,8,08,1
118016,主站_平台_交易机构（中新小贷）-01,31,主站_平台_交易机构（中新小贷）,1,01,0
127092,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）-04,32,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）,8,08,1
138162,第一房贷_资金渠道_外部渠道（财富公司）-04,33,第一房贷_资金渠道_外部渠道（财富公司）,6,06,0.75
170157,主站_平台_精英用户-01,35,主站_平台_精英用户,4,04,0.25
170788,主站_平台_A轮股东代表-01,36,主站_平台_A轮股东代表,5,05,0.5
214511,联合常春藤_资金渠道_内部专职（终止合作）-05,37,联合常春藤_资金渠道_内部专职（终止合作）,8,08,1
214512,第一车贷_资金渠道_内部专职（终止合作）-04,38,第一车贷_资金渠道_内部专职（终止合作）,8,08,1
262683,岱宗会_资金渠道_内部专职（终止合作）-04,43,岱宗会_资金渠道_内部专职（终止合作）,8,08,1
265015,典当联盟_平台_分站客户-01,29,典当联盟_平台_分站客户,2,02,0.1
265016,浙江甬贷_平台_分站客户（撤站）-01,47,浙江甬贷_平台_分站客户（撤站）,2,02,0.1
265017,艺值财富_租上租_平台_分站客户-23,46,艺值财富_租上租_平台_分站客户,2,02,0.1
265018,e收贷_平台_分站客户（撤站）-01,45,e收贷_平台_分站客户（撤站）,2,02,0.1
265019,第一房贷_资金渠道_外部菁英（分站客户）-01,44,第一房贷_资金渠道_外部菁英（分站客户）,2,02,0.1
265020,沈阳贷_平台_分站客户（撤站）-01,42,沈阳贷_平台_分站客户（撤站）,2,02,0.1
265021,弘达北方_大连贷_平台_分站客户-01,41,弘达北方_大连贷_平台_分站客户,2,02,0.1
265022,艺值财富_天津贷_平台_分站客户-23,40,艺值财富_天津贷_平台_分站客户,2,02,0.1
265023,岱宗会_平台_分站客户（撤站）-01,39,岱宗会_平台_分站客户（撤站）,2,02,0.1
267733,典当联盟_资金渠道_内部专职-04,48,典当联盟_资金渠道_内部专职,8,08,1
271515,e收贷_资金渠道_内部专职（终止合作）-04,50,e收贷_资金渠道_内部专职（终止合作）,8,08,1
272651,荣信汇_平台_分站客户-01,52,荣信汇_平台_分站客户,2,02,0.1
273471,第一房贷_资金渠道_分站平台（独立经济人）-04,22,第一房贷_资金渠道_分站平台（独立经济人）,8,08,1
311275,弘达北方_沈阳贷_资金渠道_内部专职-04,55,弘达北方_沈阳贷_资金渠道_内部专职,8,08,1
311277,弘达北方_天津贷_资金渠道_内部专职-04,57,弘达北方_天津贷_资金渠道_内部专职,8,08,1
311279,弘达北方_大连贷_资金渠道_内部专职-04,59,弘达北方_大连贷_资金渠道_内部专职,8,08,1
311284,荣信汇_资金渠道_内部专职-04,65,荣信汇_资金渠道_内部专职,8,08,1
311287,网信白泽_资金渠道_外部菁英（西安）-02,68,网信白泽_资金渠道_外部菁英（西安）,8,08,1
437444,联合智信_资金渠道_外部菁英（终止合作）-05,73,联合智信_资金渠道_外部菁英（终止合作）,8,08,1
453701,弘达北方_租上租_资金渠道_普通员工-04,84,弘达北方_租上租_资金渠道_普通员工,8,08,1
464316,艺金融_资金渠道_内部专职-04,85,艺金融_资金渠道_内部专职,8,08,1
470159,艺值财富_平台_分站客户-23,96,艺值财富_平台_分站客户,2,02,0.1
470160,艺金融_资金渠道_普通员工-01,139,艺金融_资金渠道_普通员工,4,04,0.25
470161,艺金融_资金渠道_外部菁英（兼职）-05,140,艺金融_资金渠道_外部菁英（兼职）,8,08,1
470162,艺值财富_村银贷_平台_分站客户-23,86,艺值财富_村银贷_平台_分站客户,2,02,0.1
470163,村银贷_资金渠道_普通员工（终止合作）-01,155,村银贷_资金渠道_普通员工（终止合作）,4,04,0.25
470164,村银贷_资金渠道_普通员工（终止合作）-04,155,村银贷_资金渠道_普通员工（终止合作）,8,08,1
470165,村银贷_资金渠道_内部专职（终止合作）-04,87,村银贷_资金渠道_内部专职（终止合作）,8,08,1
470166,东莞贷_平台_分站客户（撤站）-01,88,东莞贷_平台_分站客户（撤站）,2,02,0.1
470421,东莞贷_资金渠道_普通员工（终止合作）-01,157,东莞贷_资金渠道_普通员工（终止合作）,4,04,0.25
470422,东莞贷_资金渠道_普通员工（终止合作）-04,157,东莞贷_资金渠道_普通员工（终止合作）,8,08,1
470423,东莞贷_资金渠道_内部专职（终止合作）-04,89,东莞贷_资金渠道_内部专职（终止合作）,8,08,1
470424,晋信贷_平台_分站客户（撤站）-01,90,晋信贷_平台_分站客户（撤站）,2,02,0.1
470425,网信白泽_资金渠道_外部渠道（济南-存量）-02,159,网信白泽_资金渠道_外部渠道（济南-存量）,8,08,1
470680,网信白泽_资金渠道_外部渠道（济南-存量）-26,159,网信白泽_资金渠道_外部渠道（济南-存量）,1,01,0
470681,网信白泽_资金渠道_外部渠道（大连-存量）-26,91,网信白泽_资金渠道_外部渠道（大连-存量）,1,01,0
470682,第一房贷_上海贷_平台_分站客户-01,92,第一房贷_上海贷_平台_分站客户,2,02,0.1
470683,第一房贷_上海贷_资金渠道_普通员工-01,132,第一房贷_上海贷_资金渠道_普通员工,2,02,0.1
470684,第一房贷_上海贷_资金渠道_外部菁英（上海贷-兼职）-05,133,第一房贷_上海贷_资金渠道_外部菁英（上海贷-兼职）,8,08,1
470812,第一房贷_上海贷_资金渠道_内部专职（众利财富-专职）-04,93,第一房贷_上海贷_资金渠道_内部专职（众利财富-专职）,8,08,1
470940,产融贷_平台_分站客户-01,94,产融贷_平台_分站客户,2,02,0.1
471068,产融贷(产融北分)_资金渠道_普通员工（终止合作）-01,135,产融贷(产融北分)_资金渠道_普通员工（终止合作）,4,04,0.25
471069,产融贷(产融北分)_资金渠道_外部菁英（终止合作）-05,137,产融贷(产融北分)_资金渠道_外部菁英（终止合作）,8,08,1
471070,产融贷(产融北分)_资金渠道_内部专职（终止合作）-04,136,产融贷(产融北分)_资金渠道_内部专职（终止合作）,8,08,1
533367,网信财富_资金渠道_内部专职（终止合作）-04,98,网信财富_资金渠道_内部专职（终止合作）,8,08,1
533495,凤凰文化_资金渠道_外部菁英（终止合作）-05,99,凤凰文化_资金渠道_外部菁英（终止合作）,8,08,1
533623,弘达财富_资金渠道_内部专职（弘达）-04,100,弘达财富_资金渠道_内部专职（弘达）,8,08,1
552547,主站_资金渠道_普通员工-02,13,主站_资金渠道_普通员工,8,08,1
558136,e收贷_资金渠道_普通员工（终止合作）-01,118,e收贷_资金渠道_普通员工（终止合作）,4,04,0.25
558137,第一车贷_资金渠道_外部菁英（终止合作）-05,122,第一车贷_资金渠道_外部菁英（终止合作）,8,08,1
558265,荣信汇_资金渠道_普通员工-01,153,荣信汇_资金渠道_普通员工,4,04,0.25
597001,网信白泽_资金渠道_外部菁英（宁波）-02,101,网信白泽_资金渠道_外部菁英（宁波）,8,08,1
648691,润歌国际_资金渠道_内部专职（终止合作）-04,102,润歌国际_资金渠道_内部专职（终止合作）,8,08,1
661265,财富精英_资金渠道_内部专职（终止合作）-04,103,财富精英_资金渠道_内部专职（终止合作）,8,08,1
669013,弘达北方_大连贷_资金渠道_普通员工-04,147,弘达北方_大连贷_资金渠道_普通员工,8,08,1
669141,典当联盟_资金渠道_普通员工-04,151,典当联盟_资金渠道_普通员工,8,08,1
828527,AA租车_资金渠道_普通员工（终止合作）-04,104,AA租车_资金渠道_普通员工（终止合作）,8,08,1
843514,产融贷(产融北分)_资金渠道_外部菁英（资金账户）（终止合作）-01,95,产融贷(产融北分)_资金渠道_外部菁英（资金账户）（终止合作）,2,02,0.1
1101326,宜投基金_资金渠道_内部专职（终止合作）-04,106,宜投基金_资金渠道_内部专职（终止合作）,8,08,1
1172001,内蒙古开元_资金渠道_内部专职（终止合作）-04,107,内蒙古开元_资金渠道_内部专职（终止合作）,8,08,1
1387267,网信白泽_资金渠道_普通员工1-03,24,网信白泽_资金渠道_普通员工1,8,08,1
1387268,网信白泽_资金渠道_普通员工1-2,24,网信白泽_资金渠道_普通员工1,8,08,1
1387396,主站_平台_精英用户-02,35,主站_平台_精英用户,5,05,0.5
1387397,主站_平台_精英用户-03,35,主站_平台_精英用户,6,06,0.75
1387398,主站_平台_精英用户-04,35,主站_平台_精英用户,8,08,1
1484935,网信白泽_资金渠道_外部渠道（武汉-存量）-11,30,网信白泽_资金渠道_外部渠道（武汉-存量）,5,05,0.5
1484936,网信白泽_资金渠道_外部渠道（武汉-存量）-23,30,网信白泽_资金渠道_外部渠道（武汉-存量）,2,02,0.1
1484937,网信白泽_资金渠道_外部渠道（武汉-存量）-26,30,网信白泽_资金渠道_外部渠道（武汉-存量）,1,01,0
1484938,网信白泽_资金渠道_外部渠道（西安-存量）-02,108,网信白泽_资金渠道_外部渠道（西安-存量）,8,08,1
1484939,网信白泽_资金渠道_外部渠道（西安-存量）-11,108,网信白泽_资金渠道_外部渠道（西安-存量）,5,05,0.5
1484940,网信白泽_资金渠道_外部渠道（西安-存量）-23,108,网信白泽_资金渠道_外部渠道（西安-存量）,2,02,0.1
1484941,网信白泽_资金渠道_外部渠道（西安-存量）-26,108,网信白泽_资金渠道_外部渠道（西安-存量）,1,01,0
1484942,浙江甬贷_资金渠道_外部菁英（终止合作）-01,109,浙江甬贷_资金渠道_外部菁英（终止合作）,2,02,0.1
1484943,浙江甬贷_资金渠道_外部菁英（终止合作）-02,109,浙江甬贷_资金渠道_外部菁英（终止合作）,4,04,0.25
1484944,浙江甬贷_资金渠道_外部菁英（终止合作）-03,109,浙江甬贷_资金渠道_外部菁英（终止合作）,5,05,0.5
1484945,浙江甬贷_资金渠道_外部菁英（终止合作）-04,109,浙江甬贷_资金渠道_外部菁英（终止合作）,6,06,0.75
1484946,浙江甬贷_资金渠道_外部菁英（终止合作）-05,109,浙江甬贷_资金渠道_外部菁英（终止合作）,8,08,1
1484947,浙江甬贷_资金渠道_外部渠道（终止合作）-01,110,浙江甬贷_资金渠道_外部渠道（终止合作）,2,02,0.1
1484948,浙江甬贷_资金渠道_外部渠道（终止合作）-02,110,浙江甬贷_资金渠道_外部渠道（终止合作）,4,04,0.25
1484949,浙江甬贷_资金渠道_外部渠道（终止合作）-03,110,浙江甬贷_资金渠道_外部渠道（终止合作）,5,05,0.5
1484950,浙江甬贷_资金渠道_外部渠道（终止合作）-04,110,浙江甬贷_资金渠道_外部渠道（终止合作）,6,06,0.75
1484951,浙江甬贷_资金渠道_外部渠道（终止合作）-05,110,浙江甬贷_资金渠道_外部渠道（终止合作）,8,08,1
1499303,弘达北方_租上租_资金渠道_内部专职-04,114,弘达北方_租上租_资金渠道_内部专职,8,08,1
1499304,弘达北方_租上租_资金渠道_内部专职-03,114,弘达北方_租上租_资金渠道_内部专职,6,06,0.75
1499305,弘达北方_租上租_资金渠道_内部专职-02,114,弘达北方_租上租_资金渠道_内部专职,5,05,0.5
1499306,弘达北方_租上租_资金渠道_内部专职-01,114,弘达北方_租上租_资金渠道_内部专职,4,04,0.25
1499307,弘达北方_租上租_资金渠道_普通员工-01,84,弘达北方_租上租_资金渠道_普通员工,4,04,0.25
1499308,弘达北方_租上租_资金渠道_普通员工-02,84,弘达北方_租上租_资金渠道_普通员工,5,05,0.5
1499817,弘达北方_租上租_资金渠道_普通员工-03,84,弘达北方_租上租_资金渠道_普通员工,6,06,0.75
1499945,弘达北方_租上租_资金渠道_普通员工-作废,84,弘达北方_租上租_资金渠道_普通员工,8,08,1
1499946,网信白泽_资金渠道_外部菁英（沈阳）-23,112,网信白泽_资金渠道_外部菁英（沈阳）,2,02,0.1
1499947,网信白泽_资金渠道_外部菁英（沈阳）-26,112,网信白泽_资金渠道_外部菁英（沈阳）,1,01,0
1499948,网信白泽_资金渠道_外部菁英（沈阳）-11,112,网信白泽_资金渠道_外部菁英（沈阳）,5,05,0.5
1499949,网信白泽_资金渠道_外部菁英（沈阳）-04,112,网信白泽_资金渠道_外部菁英（沈阳）,6,06,0.75
1499950,网信白泽_资金渠道_外部菁英（沈阳）-02,112,网信白泽_资金渠道_外部菁英（沈阳）,8,08,1
1499951,网信理财_开放平台_弘达推荐-01,113,网信理财_开放平台_弘达推荐,2,02,0.1
1499952,网信理财_开放平台_弘达推荐-02,113,网信理财_开放平台_弘达推荐,4,04,0.25
1499953,网信理财_开放平台_弘达推荐-03,113,网信理财_开放平台_弘达推荐,5,05,0.5
1499954,网信理财_开放平台_弘达推荐-04,113,网信理财_开放平台_弘达推荐,6,06,0.75
1499955,网信理财_开放平台_弘达推荐-05,113,网信理财_开放平台_弘达推荐,8,08,1
1518147,岱宗会_资金渠道_内部专职（终止合作）-01,43,岱宗会_资金渠道_内部专职（终止合作）,4,04,0.25
1518148,岱宗会_资金渠道_内部专职（终止合作）-02,43,岱宗会_资金渠道_内部专职（终止合作）,5,05,0.5
1518149,岱宗会_资金渠道_内部专职（终止合作）-03,43,岱宗会_资金渠道_内部专职（终止合作）,6,06,0.75
1518150,岱宗会_资金渠道_普通员工（终止合作）-01,115,岱宗会_资金渠道_普通员工（终止合作）,4,04,0.25
1518151,岱宗会_资金渠道_普通员工（终止合作）-02,115,岱宗会_资金渠道_普通员工（终止合作）,5,05,0.5
1518152,岱宗会_资金渠道_普通员工（终止合作）-03,115,岱宗会_资金渠道_普通员工（终止合作）,6,06,0.75
1518153,岱宗会_资金渠道_普通员工（终止合作）-04,115,岱宗会_资金渠道_普通员工（终止合作）,8,08,1
1518154,岱宗会_资金渠道_外部菁英（终止合作）-01,116,岱宗会_资金渠道_外部菁英（终止合作）,2,02,0.1
1518155,岱宗会_资金渠道_外部菁英（终止合作）-02,116,岱宗会_资金渠道_外部菁英（终止合作）,4,04,0.25
1518156,岱宗会_资金渠道_外部菁英（终止合作）-03,116,岱宗会_资金渠道_外部菁英（终止合作）,5,05,0.5
1518157,岱宗会_资金渠道_外部菁英（终止合作）-04,116,岱宗会_资金渠道_外部菁英（终止合作）,6,06,0.75
1518158,岱宗会_资金渠道_外部菁英（终止合作）-05,116,岱宗会_资金渠道_外部菁英（终止合作）,8,08,1
1518159,岱宗会_资金渠道_外部渠道（终止合作）-01,117,岱宗会_资金渠道_外部渠道（终止合作）,2,02,0.1
1518160,岱宗会_资金渠道_外部渠道（终止合作）-02,117,岱宗会_资金渠道_外部渠道（终止合作）,4,04,0.25
1518161,岱宗会_资金渠道_外部渠道（终止合作）-03,117,岱宗会_资金渠道_外部渠道（终止合作）,5,05,0.5
1518162,岱宗会_资金渠道_外部渠道（终止合作）-04,117,岱宗会_资金渠道_外部渠道（终止合作）,6,06,0.75
1518163,岱宗会_资金渠道_外部渠道（终止合作）-05,117,岱宗会_资金渠道_外部渠道（终止合作）,8,08,1
1518291,e收贷_资金渠道_普通员工（终止合作）-02,118,e收贷_资金渠道_普通员工（终止合作）,5,05,0.5
1518292,e收贷_资金渠道_普通员工（终止合作）-03,118,e收贷_资金渠道_普通员工（终止合作）,6,06,0.75
1518293,e收贷_资金渠道_普通员工（终止合作）-04,118,e收贷_资金渠道_普通员工（终止合作）,8,08,1
1518294,e收贷_资金渠道_内部专职（终止合作）-01,50,e收贷_资金渠道_内部专职（终止合作）,4,04,0.25
1518295,e收贷_资金渠道_内部专职（终止合作）-02,50,e收贷_资金渠道_内部专职（终止合作）,5,05,0.5
1518296,e收贷_资金渠道_内部专职（终止合作）-03,50,e收贷_资金渠道_内部专职（终止合作）,6,06,0.75
1518297,e收贷_资金渠道_外部渠道（成都）（终止合作）-01,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,2,02,0.1
1518298,e收贷_资金渠道_外部渠道（成都）（终止合作）-02,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,4,04,0.25
1518299,e收贷_资金渠道_外部渠道（成都）（终止合作）-03,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,5,05,0.5
1518300,e收贷_资金渠道_外部渠道（成都）（终止合作）-04,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,6,06,0.75
1518301,e收贷_资金渠道_外部渠道（成都）（终止合作）-05,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,5,05,0.5
1518302,e收贷_资金渠道_外部菁英（终止合作）-01,119,e收贷_资金渠道_外部菁英（终止合作）,2,02,0.1
1518303,e收贷_资金渠道_外部菁英（终止合作）-02,119,e收贷_资金渠道_外部菁英（终止合作）,4,04,0.25
1518304,e收贷_资金渠道_外部菁英（终止合作）-03,119,e收贷_资金渠道_外部菁英（终止合作）,5,05,0.5
1518305,e收贷_资金渠道_外部菁英（终止合作）-04,119,e收贷_资金渠道_外部菁英（终止合作）,6,06,0.75
1518306,e收贷_资金渠道_外部菁英（终止合作）-05,119,e收贷_资金渠道_外部菁英（终止合作）,8,08,1
1533677,第一车贷_资金渠道_外部菁英（终止合作）-01,122,第一车贷_资金渠道_外部菁英（终止合作）,2,02,0.1
1533678,第一车贷_资金渠道_外部菁英（终止合作）-02,122,第一车贷_资金渠道_外部菁英（终止合作）,4,04,0.25
1533679,第一车贷_资金渠道_外部菁英（终止合作）-03,122,第一车贷_资金渠道_外部菁英（终止合作）,5,05,0.5
1533680,第一车贷_资金渠道_外部菁英（终止合作）-04,122,第一车贷_资金渠道_外部菁英（终止合作）,6,06,0.75
1533681,第一车贷_资金渠道_内部专职（终止合作）-01,38,第一车贷_资金渠道_内部专职（终止合作）,4,04,0.25
1533682,第一车贷_资金渠道_内部专职（终止合作）-02,38,第一车贷_资金渠道_内部专职（终止合作）,5,05,0.5
1533683,第一车贷_资金渠道_内部专职（终止合作）-03,38,第一车贷_资金渠道_内部专职（终止合作）,6,06,0.75
1533684,第一车贷_资金渠道_外部渠道（终止合作）-01,124,第一车贷_资金渠道_外部渠道（终止合作）,2,02,0.1
1533685,第一车贷_资金渠道_外部渠道（终止合作）-02,124,第一车贷_资金渠道_外部渠道（终止合作）,4,04,0.25
1533686,第一车贷_资金渠道_外部渠道（终止合作）-03,124,第一车贷_资金渠道_外部渠道（终止合作）,5,05,0.5
1533687,第一车贷_资金渠道_外部渠道（终止合作）-04,124,第一车贷_资金渠道_外部渠道（终止合作）,6,06,0.75
1533688,第一车贷_资金渠道_外部渠道（终止合作）-05,124,第一车贷_资金渠道_外部渠道（终止合作）,8,08,1
1533689,第一车贷_资金渠道_普通员工（终止合作）-01,123,第一车贷_资金渠道_普通员工（终止合作）,4,04,0.25
1533690,第一车贷_资金渠道_普通员工（终止合作）-02,123,第一车贷_资金渠道_普通员工（终止合作）,5,05,0.5
1533691,第一车贷_资金渠道_普通员工（终止合作）-03,123,第一车贷_资金渠道_普通员工（终止合作）,6,06,0.75
1533692,第一车贷_资金渠道_普通员工（终止合作）-04,123,第一车贷_资金渠道_普通员工（终止合作）,8,08,1
1539790,第一房贷_资金渠道_外部渠道（财富公司）-01,33,第一房贷_资金渠道_外部渠道（财富公司）,2,02,0.1
1539791,第一房贷_资金渠道_外部渠道（财富公司）-02,33,第一房贷_资金渠道_外部渠道（财富公司）,4,04,0.25
1539792,第一房贷_资金渠道_外部渠道（财富公司）-03,33,第一房贷_资金渠道_外部渠道（财富公司）,5,05,0.5
1539793,第一房贷_资金渠道_外部渠道（财富公司）-05,33,第一房贷_资金渠道_外部渠道（财富公司）,8,08,1
1541324,第一房贷_资金渠道_普通员工（后台员工）-01,126,第一房贷_资金渠道_普通员工（后台员工）,4,04,0.25
1541325,第一房贷_资金渠道_普通员工（后台员工）-02,126,第一房贷_资金渠道_普通员工（后台员工）,5,05,0.5
1541326,第一房贷_资金渠道_普通员工（后台员工）-03,126,第一房贷_资金渠道_普通员工（后台员工）,6,06,0.75
1541327,第一房贷_资金渠道_普通员工（后台员工）-04,126,第一房贷_资金渠道_普通员工（后台员工）,8,08,1
1541328,第一房贷_资金渠道_分站平台（独立经济人）-02,22,第一房贷_资金渠道_分站平台（独立经济人）,2,02,0.1
1543114,第一房贷_资金渠道_外部菁英（财富团队发展兼职）-01,127,第一房贷_资金渠道_外部菁英（财富团队发展兼职）,2,02,0.1
1543115,第一房贷_资金渠道_外部菁英（财富团队发展兼职）-02,127,第一房贷_资金渠道_外部菁英（财富团队发展兼职）,4,04,0.25
1543116,第一房贷_资金渠道_外部菁英（财富团队发展兼职）-03,127,第一房贷_资金渠道_外部菁英（财富团队发展兼职）,5,05,0.5
1543117,第一房贷_资金渠道_外部菁英（财富团队发展兼职）-04,127,第一房贷_资金渠道_外部菁英（财富团队发展兼职）,6,06,0.75
1543118,第一房贷_资金渠道_外部菁英（财富团队发展兼职）-05,127,第一房贷_资金渠道_外部菁英（财富团队发展兼职）,8,08,1
1544390,弘达北方_天津贷_资金渠道_内部专职-01,57,弘达北方_天津贷_资金渠道_内部专职,4,04,0.25
1544391,弘达北方_天津贷_资金渠道_内部专职-02,57,弘达北方_天津贷_资金渠道_内部专职,5,05,0.5
1544392,弘达北方_天津贷_资金渠道_内部专职-03,57,弘达北方_天津贷_资金渠道_内部专职,6,06,0.75
1544393,弘达北方_天津贷_资金渠道_普通员工-01,128,弘达北方_天津贷_资金渠道_普通员工,4,04,0.25
1544394,弘达北方_天津贷_资金渠道_普通员工-02,128,弘达北方_天津贷_资金渠道_普通员工,5,05,0.5
1544395,弘达北方_天津贷_资金渠道_普通员工-03,128,弘达北方_天津贷_资金渠道_普通员工,6,06,0.75
