借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005210782,72342897,11275,280.95,6.74
消费贷A005210782,72343049,11275,91.62,2.19
消费贷A005416067,72821406,11275,35.36,1.16
消费贷A005421640,72863851,11275,10.62,0.1
消费贷A005429339,72925105,11275,27.29,0.89
消费贷A005435763,72994740,11275,44.72,1.73
消费贷A004446476,71339494,11321,115.37,2.2
消费贷A004559593,71479597,11321,1816.74,43.73
消费贷A005433172,72968157,11325,317.00,12.22
消费贷A005434223,72977363,11325,10.33,0.13
消费贷A005541359,74223819,11325,98.94,1.23
消费贷A007331540,98766810,11325,37.81,0.73
消费贷A007348384,99282613,11325,19.21,0.15
消费贷A007354221,99515315,11325,88.79,1.05
消费贷A007356274,99619335,11325,35.85,0.42
消费贷A007370597,100259427,11325,36.79,0.66
消费贷A007373208,100384927,11325,37.99,0.85
消费贷A007300474,98044930,11434,54.82,0.86
消费贷A005429763,72929383,11468,18.41,0.42
消费贷A005501877,73579042,11468,382.35,21.31
消费贷A005411632,72783744,11535,12.04,0.11
消费贷A004804524,71802150,11645,34.26,0.82
消费贷A004997425,72046585,11645,877.79,21.68
消费贷A005454301,73164079,11675,3560.94,141.6
消费贷A005414564,72809791,11821,668.58,22.59
消费贷A005416529,72825134,11933,271.96,9.17
消费贷A005456602,73177366,11994,18.03,0.3
消费贷A005496001,73527167,11995,4015.16,195.71
消费贷A007366563,100069122,12199,33.86,0.37
消费贷A007366706,100074264,12199,17.01,0.12
消费贷A007367468,100100812,12199,33.86,0.37
消费贷A007376544,100566042,12199,16.99,0.12
消费贷A007376900,100581657,12199,16.99,0.12
消费贷A007383172,100914627,12199,16.99,0.12
消费贷A005232432,72399143,12325,46.54,0.44
消费贷A005476136,73344350,12357,181.01,3.96
消费贷A005424236,72881407,12418,9.36,0.12
消费贷A005430444,72937265,12418,9.36,0.12
消费贷A005431434,72948258,12508,46.33,0.66
消费贷A005435261,72989238,12508,92.49,1.32
消费贷A005435261,72989247,12508,184.81,2.65
消费贷A005447987,73116313,12508,306.96,12.16
消费贷A005482821,73396481,12508,421.53,11.11
