借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007360988,99803878,10832721,51.84,0.8
消费贷A007363087,99914570,10832721,41.80,0.46
消费贷A007365208,99990847,10832721,169.19,1.89
消费贷A007365209,99990872,10832721,33.86,0.37
消费贷A007365599,100013627,10832721,129.52,2.04
消费贷A007367806,100119352,10832721,172.00,3.4
消费贷A007368431,100158905,10832721,34.38,0.62
消费贷A007369188,100186964,10832721,34.38,0.62
消费贷A007372386,100338939,10832721,379.19,14.3
消费贷A007377923,100650576,10832721,169.05,1.79
消费贷A007378585,100694921,10832721,16.99,0.12
消费贷A007379464,100745391,10832721,67.15,1.17
消费贷A007379820,100759714,10832721,418.14,8.9
消费贷A007381746,100851309,10832721,13.99,0.2
消费贷A007342916,99104439,11560913,8.76,0.06
消费贷A007346906,99242303,11560913,17.39,0.19
消费贷A007351892,99384534,11560913,8.76,0.06
